family,group,endpoint,metric,n,raw,standardized_group_conditionals,q_F,q_A,q_N,ell_F,ell_A,ell_N
rebound,May-Jul,pooled,P,634,0.28677511514708565,0.29768539617728007,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.7205490396918116,0.2708356295678488,0.25726855599519943
rebound,May-Jul,pooled,R,634,0.2933346438420686,0.31121240062814337,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.7802142722328418,0.319689371187483,0.22826754061014895
rebound,May-Jul,pooled,onehot-F,634,0.9479495268138793,0.9262981574539363,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.0,0.9999999999999997,1.0000000000000002
rebound,May-Jul,pooled,onehot-A,634,0.6025236593059935,0.5376884422110554,0.05205047318611987,0.3974763406940064,0.5504731861198738,1.0,0.0,1.0000000000000002
rebound,May-Jul,pooled,onehot-N,634,0.4495268138801263,0.5360134003350082,0.05205047318611987,0.3974763406940064,0.5504731861198738,1.0,0.9999999999999997,0.0
rebound,May-Jul,pooled,uniform,634,0.33333333333333337,0.3333333333333333,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.33333333333333337,0.3333333333333334,0.33333333333333315
rebound,May-Jul,pooled,train-frequency,634,0.27421744750008203,0.2827762486356966,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.6435219088182399,0.25491219357535866,0.2532371516993116
rebound,May-Jul,pooled,P-C,634,-0.0028611519930393146,-0.001528199750963443,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.009269738280587025,0.004768226417316871,-0.009517091071662313
rebound,May-Jul,pooled,R-C,634,0.003698376701943632,0.01199880469989982,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.0689349708216172,0.053621968036951004,-0.03851810645671279
rebound,May-Jul,pooled,R-P,634,0.006559528694982949,0.013527004450863267,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.05966523254103018,0.04885374161963414,-0.029001015385050472
rebound,May-Jul,pooled,C-frequency,634,0.015418819640042802,0.016437347292546946,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.06775739259298476,0.011155209575173353,0.013548495367550008
rebound,May-Jul,pooled,P-frequency,634,0.01255766764700349,0.014909147541583505,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.0770271308735718,0.015923435992490225,0.004031404295887695
rebound,May-Jul,pooled,R-frequency,634,0.01911719634198643,0.02843615199244677,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.13669236341460198,0.06477717761212436,-0.024969611089162774
rebound,May-Jul,pooled,frequency-uniform,634,-0.05911588583325126,-0.05055708469763673,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.3101885754849064,-0.07842113975797477,-0.08009618163402159
